#syscall (v6.13.0 2025-01-23),x86,x86_kver,x86_64,x86_64_kver,x32,x32_kver,arm,arm_kver,aarch64,aarch64_kver,loongarch64,loongarch64_kver,m68k,m68k_kver,mips,mips_kver,mips64,mips64_kver,mips64n32,mips64n32_kver,parisc,parisc_kver,parisc64,parisc64_kver,ppc,ppc_kver,ppc64,ppc64_kver,riscv64,riscv64_kver,s390,s390_kver,s390x,s390x_kver,sh,sh_kver
clock_adjtime64,405,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,405,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,405,SCMP_KV_UNDEF,405,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,405,SCMP_KV_UNDEF,405,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,405,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,405,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,405,SCMP_KV_UNDEF
clock_getres,266,SCMP_KV_UNDEF,229,SCMP_KV_UNDEF,229,SCMP_KV_UNDEF,264,SCMP_KV_UNDEF,114,SCMP_KV_UNDEF,114,SCMP_KV_UNDEF,261,SCMP_KV_UNDEF,264,SCMP_KV_UNDEF,223,SCMP_KV_UNDEF,227,SCMP_KV_UNDEF,257,SCMP_KV_UNDEF,257,SCMP_KV_UNDEF,247,SCMP_KV_UNDEF,247,SCMP_KV_UNDEF,114,SCMP_KV_UNDEF,261,SCMP_KV_UNDEF,261,SCMP_KV_UNDEF,266,SCMP_KV_UNDEF
clock_getres_time64,406,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,406,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,406,SCMP_KV_UNDEF,406,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,406,SCMP_KV_UNDEF,406,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,406,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,406,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,406,SCMP_KV_UNDEF
clock_gettime,265,SCMP_KV_UNDEF,228,SCMP_KV_UNDEF,228,SCMP_KV_UNDEF,263,SCMP_KV_UNDEF,113,SCMP_KV_UNDEF,113,SCMP_KV_UNDEF,260,SCMP_KV_UNDEF,263,SCMP_KV_UNDEF,222,SCMP_KV_UNDEF,226,SCMP_KV_UNDEF,256,SCMP_KV_UNDEF,256,SCMP_KV_UNDEF,246,SCMP_KV_UNDEF,246,SCMP_KV_UNDEF,113,SCMP_KV_UNDEF,260,SCMP_KV_UNDEF,260,SCMP_KV_UNDEF,265,SCMP_KV_UNDEF
clock_gettime64,403,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,403,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,403,SCMP_KV_UNDEF,403,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,403,SCMP_KV_UNDEF,403,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,403,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,403,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,403,SCMP_KV_UNDEF
clock_nanosleep,267,SCMP_KV_UNDEF,230,SCMP_KV_UNDEF,230,SCMP_KV_UNDEF,265,SCMP_KV_UNDEF,115,SCMP_KV_UNDEF,115,SCMP_KV_UNDEF,262,SCMP_KV_UNDEF,265,SCMP_KV_UNDEF,224,SCMP_KV_UNDEF,228,SCMP_KV_UNDEF,258,SCMP_KV_UNDEF,258,SCMP_KV_UNDEF,248,SCMP_KV_UNDEF,248,SCMP_KV_UNDEF,115,SCMP_KV_UNDEF,262,SCMP_KV_UNDEF,262,SCMP_KV_UNDEF,267,SCMP_KV_UNDEF
clock_nanosleep_time64,407,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,407,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,407,SCMP_KV_UNDEF,407,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,407,SCMP_KV_UNDEF,407,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,407,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,407,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,407,SCMP_KV_UNDEF
clock_settime,264,SCMP_KV_UNDEF,227,SCMP_KV_UNDEF,227,SCMP_KV_UNDEF,262,SCMP_KV_UNDEF,112,SCMP_KV_UNDEF,112,SCMP_KV_UNDEF,259,SCMP_KV_UNDEF,262,SCMP_KV_UNDEF,221,SCMP_KV_UNDEF,225,SCMP_KV_UNDEF,255,SCMP_KV_UNDEF,255,SCMP_KV_UNDEF,245,SCMP_KV_UNDEF,245,SCMP_KV_UNDEF,112,SCMP_KV_UNDEF,259,SCMP_KV_UNDEF,259,SCMP_KV_UNDEF,264,SCMP_KV_UNDEF
clock_settime64,404,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,404,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,404,SCMP_KV_UNDEF,404,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,404,SCMP_KV_UNDEF,404,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,404,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,404,SCMP_KV_UNDEF,PNR,SCMP_KV_UNDEF,404,SCMP_KV_UNDEF
clone,120,SCMP_KV_UNDEF,56,SCMP_KV_UNDEF,56,SCMP_KV_UNDEF,120,SCMP_KV_UNDEF,220,SCMP_KV_UNDEF,220,SCMP_KV_UNDEF,120,SCMP_KV_UNDEF,120,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,55,SCMP_KV_UNDEF,120,SCMP_KV_UNDEF,120,SCMP_KV_UNDEF,120,SCMP_KV_UNDEF,120,SCMP_KV_UNDEF,220,SCMP_KV_UNDEF,120,SCMP_KV_UNDEF,120,SCMP_KV_UNDEF,120,SCMP_KV_UNDEF
